,averagerating,numvotes,title,genres,Sport,Fantasy,Mystery,War,Biography,Drama,Comedy,History,Crime,Horror,Family,Adventure,Romance,Documentary,Sci-Fi,Action,Thriller,Music,Animation,year,dom_gross,for_gross,world_gross
783,6.8,12173,Blade of the Immortal,"Action,Drama,Fantasy",False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,2017,151000.0,,
784,7.2,23,21,Horror,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2008,81159365.0,78687064.0,159846429.0
785,7.3,17583,The Hate U Give,"Crime,Drama",False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2018,29700000.0,5200000.0,34900000.0
786,8.4,10,Groove,"Drama,Music,Musical",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2000,1115313.0,52211.0,1167524.0
787,7.9,8261,Faces Places,Documentary,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2017,954000.0,,
788,7.2,18282,A Fantastic Woman,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2018,2000000.0,,
789,7.1,409,The Last Suit,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2018,73500.0,,
790,6.6,18,A Quiet Place,Documentary,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2018,188000000.0,152900000.0,340900000.0
791,4.5,190,Disconnect,"Drama,Mystery,Sci-Fi",False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,2013,1400000.0,,
792,7.1,283534,Real Steel,"Action,Drama,Family",False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,2011,85500000.0,213800000.0,299300000.0
793,6.6,16086,Ramona and Beezus,"Adventure,Comedy,Family",False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,2010,26200000.0,1100000.0,27300000.0
794,5.9,67549,The Incredible Burt Wonderstone,"Adventure,Comedy,Fantasy",False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,2013,22500000.0,4900000.0,27400000.0
795,5.6,109078,R.I.P.D.,"Action,Adventure,Comedy",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,2013,33600000.0,44700000.0,78300000.0
796,6.7,95318,Epic,"Adventure,Animation,Family",False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,2013,107500000.0,160900000.0,268400000.0
797,6.2,59266,Red State,"Action,Crime,Horror",False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,2011,1100000.0,,
798,7.5,284869,Hugo,"Adventure,Drama,Family",False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,2011,73900000.0,111900000.0,185800000.0
799,6.5,59477,Child 44,"Crime,Drama,History",False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,2015,1200000.0,11700000.0,12900000.0
